Series,Time,Value
CU-S0041,2019-04-22,33.49564393939394
CU-S0041,2019-04-24,27.31116666666667
CU-S0041,2019-04-25,39.450833333333335
CU-S0041,2019-04-26,35.990341325341326
CU-S0041,2019-04-27,29.13141414141414
CU-S0041,2019-04-28,24.376887626262626
CU-S0041,2019-04-29,23.16274936868687
CU-S0041,2019-04-30,28.581038961038963
CU-S0041,2019-05-01,27.920312499999998
CU-S0041,2019-05-02,43.06282196969698
CU-S0041,2019-05-03,35.45607638888889
CU-S0041,2019-05-04,29.586256313131315
CU-S0041,2019-05-05,25.16760101010101
CU-S0041,2019-05-06,26.598039215686274
CU-S0041,2019-05-08,26.399383838383837
CU-S0041,2019-05-09,22.518402777777776
CU-S0041,2019-05-10,21.07333333333333
CU-S0041,2019-05-11,22.503611111111105
CU-S0041,2019-05-12,23.85800925925926
CU-S0042,2019-02-13,34.84583333333334
CU-S0042,2019-02-14,37.21809926184926
CU-S0042,2019-02-15,40.67326388888889
CU-S0042,2019-02-16,41.960844988344995
CU-S0042,2019-02-18,26.67777777777778
CU-S0042,2019-02-19,29.069047619047616
CU-S0042,2019-02-22,47.06655844155845
CU-S0042,2019-02-24,56.20051587301587
CU-S0042,2019-02-25,47.180070707070705
CU-S0042,2019-02-26,52.92266666666667
CU-S0042,2019-02-27,49.60430871212122
CU-S0042,2019-02-28,39.46957070707071
CU-S0042,2019-03-10,52.912777777777784
CU-S0042,2019-03-11,101.25433333333332
CU-S0042,2019-03-12,95.0805303030303
CU-S0042,2019-03-13,116.70041666666667
CU-S0042,2019-03-15,104.19849862258953
CU-S0042,2019-03-18,54.34376984126983
CU-S0042,2019-03-19,40.748636363636365
CU-S0042,2019-03-20,57.383798898071625
CU-S0042,2019-03-21,77.84113237639554
CU-S0042,2019-03-22,73.97333333333333
CU-S0042,2019-03-23,99.7575012025012
CU-S0042,2019-03-24,82.875625
CU-S0042,2019-03-25,65.2195670995671
CU-S0042,2019-03-26,33.37020833333334
CU-S0042,2019-03-27,33.46222222222222
CU-S0042,2019-03-28,36.61052083333333
CU-S0042,2019-03-29,66.73977272727272
CU-S0042,2019-03-31,61.23123015873016
CU-S0042,2019-04-01,131.84988888888887
CU-S0042,2019-04-08,32.525
CU-S0042,2019-04-09,55.3
CU-S0042,2019-04-10,129.4192424242424
CU-S0042,2019-04-11,81.65753968253968
CU-S0042,2019-04-12,116.49661111111111
CU-S0042,2019-04-17,34.800000000000004
CU-S0042,2019-04-18,37.260416666666664
CU-S0042,2019-04-19,46.88984848484848
CU-S0042,2019-04-20,47.1125
CU-S0042,2019-04-22,32.928636363636365
CU-S0042,2019-04-23,27.10279595959596
CU-S0042,2019-04-24,32.51295380140692
CU-S0042,2019-04-25,37.88989898989899
CU-S0042,2019-04-26,43.8715
CU-S0042,2019-04-29,24.707278911564625
CU-S0042,2019-05-01,54.821527777777774
CU-S0042,2019-05-02,46.455555555555556
CU-S0042,2019-05-03,62.12111111111111
CU-S0042,2019-05-08,30.21316738816739
CU-S0042,2019-05-10,24.38859375
CU-S0044,2019-02-13,39.520833333333336
CU-S0044,2019-02-14,42.295833333333334
CU-S0044,2019-02-15,50.87708333333333
CU-S0044,2019-02-16,53.422738095238095
CU-S0044,2019-02-18,29.58507142857143
CU-S0044,2019-02-19,39.175000000000004
CU-S0044,2019-02-20,40.49587121212121
CU-S0044,2019-02-21,53.93683333333333
CU-S0044,2019-02-22,56.09251893939395
CU-S0044,2019-02-23,59.687152777777776
CU-S0044,2019-02-24,67.37986111111111
CU-S0044,2019-02-25,78.86111111111111
CU-S0044,2019-02-26,66.56753472222222
CU-S0044,2019-02-27,61.267705176767684
CU-S0044,2019-02-28,48.923611111111114
CU-S0044,2019-03-01,37.565719696969694
CU-S0044,2019-03-02,42.145760233918125
CU-S0044,2019-03-04,49.47927156177156
CU-S0044,2019-03-05,50.57130997474747
CU-S0044,2019-03-06,52.84166666666667
CU-S0044,2019-03-07,69.30982121212121
CU-S0044,2019-03-08,47.68296791443851
CU-S0044,2019-03-09,41.93
CU-S0044,2019-03-10,60.897708333333334
CU-S0044,2019-03-11,75.34789800175669
CU-S0044,2019-03-12,98.45625
CU-S0044,2019-03-13,110.4886111111111
CU-S0044,2019-03-14,122.86299603174604
CU-S0044,2019-03-15,124.23499780412824
CU-S0044,2019-03-16,82.9079861111111
CU-S0044,2019-03-17,61.45868055555555
CU-S0044,2019-03-18,56.796875
CU-S0044,2019-03-19,37.25590277777778
CU-S0044,2019-03-20,32.318481691919196
CU-S0044,2019-03-21,39.3621148989899
CU-S0044,2019-03-22,61.453915470494415
CU-S0044,2019-03-24,58.14477272727273
CU-S0044,2019-03-25,45.248087121212116
CU-S0044,2019-03-26,32.34147186147186
CU-S0044,2019-03-27,34.73967676767677
CU-S0044,2019-03-28,34.303296296296296
CU-S0044,2019-03-29,52.24378787878788
CU-S0044,2019-03-30,81.29944444444443
CU-S0044,2019-03-31,62.621228070175434
CU-S0044,2019-04-01,52.89523809523809
CU-S0044,2019-04-08,28.65222222222222
CU-S0044,2019-04-09,46.289959595959594
CU-S0044,2019-04-10,53.83611111111111
CU-S0044,2019-04-11,69.16636363636364
CU-S0044,2019-04-12,90.109375
CU-S0044,2019-04-13,68.53652146464647
CU-S0044,2019-04-14,48.95048128342246
CU-S0044,2019-04-15,35.05690476190476
CU-S0044,2019-04-16,40.0825
CU-S0044,2019-04-17,47.39756944444445
CU-S0044,2019-04-18,36.79141025641025
CU-S0044,2019-04-19,46.79303030303031
CU-S0044,2019-04-20,56.340359848484844
CU-S0044,2019-04-21,65.875
CU-S0044,2019-04-22,39.739761904761906
CU-S0044,2019-04-23,27.42112563131313
CU-S0044,2019-04-24,35.29359848484848
CU-S0044,2019-04-25,45.09617224880383
CU-S0044,2019-04-26,42.10652777777778
CU-S0044,2019-04-27,30.116527777777776
CU-S0044,2019-04-28,27.536857142857144
CU-S0044,2019-04-29,26.078825396825398
CU-S0044,2019-04-30,41.798227731864095
CU-S0044,2019-05-01,45.4409126984127
CU-S0044,2019-05-02,60.06393939393939
CU-S0044,2019-05-03,59.44246031746032
CU-S0044,2019-05-04,31.150277777777777
CU-S0044,2019-05-05,37.56944444444444
CU-S0044,2019-05-06,35.803125
CU-S0044,2019-05-07,36.276041666666664
CU-S0044,2019-05-08,31.980138888888888
CU-S0044,2019-05-09,27.09340277777778
CU-S0044,2019-05-10,23.259375000000002
CU-S0044,2019-05-11,23.69548611111111
CU-S0044,2019-05-12,24.36269841269841
CU-S0045,2019-02-13,36.6
CU-S0045,2019-02-14,62.09861111111112
CU-S0045,2019-02-15,56.05830176767677
CU-S0045,2019-02-16,41.20590277777777
CU-S0045,2019-02-17,27.305555555555557
CU-S0045,2019-02-18,34.77847222222222
CU-S0045,2019-02-19,57.73314393939393
CU-S0045,2019-02-20,48.67126796814296
CU-S0045,2019-02-21,68.9576388888889
CU-S0045,2019-02-22,66.00411826599327
CU-S0045,2019-02-23,59.39493686868687
CU-S0045,2019-02-24,70.12777777777778
CU-S0045,2019-02-25,64.79041035353536
CU-S0045,2019-02-26,56.819303030303026
CU-S0045,2019-02-28,33.79666666666667
CU-S0045,2019-03-01,34.29430555555555
CU-S0045,2019-03-02,40.569359217171716
CU-S0045,2019-03-03,39.05027910685805
CU-S0045,2019-03-04,56.01843584656084
CU-S0045,2019-03-05,39.64973737373737
CU-S0045,2019-03-06,62.645391414141415
CU-S0045,2019-03-07,74.1552619949495
CU-S0045,2019-03-08,76.56215277777777
CU-S0045,2019-03-09,65.36928661616162
CU-S0045,2019-03-10,48.27777777777777
CU-S0045,2019-03-11,112.00579966329967
CU-S0045,2019-03-12,155.61982872200264
CU-S0045,2019-03-13,161.27275883838385
CU-S0045,2019-03-14,132.1412478956229
CU-S0045,2019-03-15,119.99034722222223
CU-S0045,2019-03-16,85.51044191919192
CU-S0045,2019-03-17,62.76878156565656
CU-S0045,2019-03-18,59.21900252525253
CU-S0045,2019-03-19,31.898214707997315
CU-S0046,2019-02-13,30.645833333333332
CU-S0046,2019-02-14,30.761944444444442
CU-S0046,2019-02-15,33.07395833333333
CU-S0046,2019-02-16,36.04826388888889
CU-S0046,2019-02-17,26.47118055555556
CU-S0046,2019-02-18,24.956944444444446
CU-S0046,2019-02-19,25.728125000000002
CU-S0046,2019-02-20,29.79933712121212
CU-S0046,2019-02-21,35.989709595959596
CU-S0046,2019-02-22,42.55763888888889
CU-S0046,2019-02-23,50.52121212121212
CU-S0046,2019-02-24,68.08200757575757
CU-S0046,2019-02-27,43.95088383838384
CU-S0046,2019-02-28,42.00053661616162
CU-S0046,2019-03-01,34.03060606060606
CU-S0046,2019-03-02,34.16319444444444
CU-S0046,2019-03-03,38.60104166666667
CU-S0046,2019-03-04,42.0559375
CU-S0046,2019-03-05,46.23423611111111
CU-S0046,2019-03-06,52.249652777777776
CU-S0046,2019-03-07,74.07142857142857
CU-S0046,2019-03-10,50.04954609929079
CU-S0046,2019-03-11,73.06832317742644
CU-S0046,2019-03-12,98.49106691919191
CU-S0046,2019-03-13,132.38694444444445
CU-S0046,2019-03-14,121.6442234848485
CU-S0046,2019-03-15,112.24842171717171
CU-S0046,2019-03-16,80.78810606060607
CU-S0046,2019-03-17,54.35204897551224
CU-S0046,2019-03-18,57.27333333333333
CU-S0046,2019-03-19,35.925
CU-S0046,2019-03-20,29.598842592592593
CU-S0046,2019-03-21,31.61859217171717
CU-S0046,2019-03-22,49.27165404040404
CU-S0046,2019-03-23,91.18368055555555
CU-S0046,2019-03-24,86.39293859649123
CU-S0046,2019-03-26,31.034111111111113
CU-S0046,2019-03-27,22.585003246753246
CU-S0046,2019-03-28,28.16701388888889
CU-S0046,2019-03-29,41.243402777777774
CU-S0046,2019-03-30,66.95138888888889
CU-S0046,2019-03-31,59.65618577075099
CU-S0046,2019-04-08,24.977941176470587
CU-S0046,2019-04-09,36.17372474747474
CU-S0046,2019-04-10,47.39652777777778
CU-S0046,2019-04-11,64.48076388888889
CU-S0046,2019-04-12,88.97418244949495
CU-S0046,2019-04-13,72.24958964646464
CU-S0046,2019-04-14,64.21616161616161
CU-S0046,2019-04-15,56.93451388888889
CU-S0046,2019-04-16,50.755637626262626
CU-S0046,2019-04-17,94.53678253119429
CU-S0046,2019-04-18,33.41962962962963
CU-S0046,2019-04-19,41.666666666666664
CU-S0046,2019-04-20,41.401641414141416
CU-S0046,2019-04-21,58.040486443381184
CU-S0046,2019-04-23,25.29550865800866
CU-S0046,2019-04-24,38.88993055555556
CU-S0046,2019-04-25,52.21633207070707
CU-S0046,2019-04-26,44.86939709595959
CU-S0046,2019-04-27,36.98346590909091
CU-S0046,2019-04-28,27.49965277777778
CU-S0046,2019-04-29,22.583945707070708
CU-S0046,2019-04-30,36.83541666666667
CU-S0046,2019-05-01,55.18342171717172
CU-S0046,2019-05-02,56.12539821289821
CU-S0046,2019-05-03,66.25576515151515
CU-S0046,2019-05-04,27.490073260073256
CU-S0046,2019-05-05,25.474999999999998
CU-S0046,2019-05-08,21.88095238095238
CU-S0046,2019-05-09,22.610744949494947
CU-S0046,2019-05-10,21.842077020202016
CU-S0046,2019-05-11,23.026799242424243
CU-S0046,2019-05-12,22.42189955106622
CU-S0047,2019-02-13,33.88611111111111
CU-S0047,2019-02-14,38.292370580808075
